state,biden_votes_2020,trump_votes_2020,other_votes_2020,clinton_votes_2016,other_2016,cases_jan_2020,cases_feb_2020,cases_mar_2020,cases_apr_2020,cases_may_2020,cases_jun_2020,cases_jul_2020,cases_aug_2020,cases_sep_2020,cases_oct_2020,cases_nov_2020,cases_dec_2020,cases_jan_2021,cases_feb_2021,cases_mar_2021,cases_apr_2021,cases_may_2021,cases_jun_2021,cases_jul_2021,cases_aug_2021,cases_sep_2021,cases_oct_2021,cases_2020,deaths_jan_2020,deaths_feb_2020,deaths_mar_2020,deaths_apr_2020,deaths_may_2020,deaths_jun_2020,deaths_jul_2020,deaths_aug_2020,deaths_sep_2020,deaths_oct_2020,deaths_nov_2020,deaths_dec_2020,deaths_jan_2021,deaths_feb_2021,deaths_mar_2021,deaths_apr_2021,deaths_may_2021,deaths_jun_2021,deaths_jul_2021,deaths_aug_2021,deaths_sep_2021,deaths_oct_2021,vax_dec_2020,vax_jan_2021,vax_mar_2021,vax_apr_2021,vax_may_2021,vax_june_2021,vax_jul_2021,vax_aug_2021,vax_sep_2021,vax_oct_2021,deaths_pc_jun_2020,stay_begin,stay_end,shutdown_date_range,shutdown_length,total_population_2010,total_population_est_2019,census_fips_code,q1_gdp_2020,q2_gdp_2020,q3_gdp_2020,q4_gdp_2020,pc_income_2020,oct_2020_unemployed,drug_alc_deaths_2019,state_social_liberalism_policy,percent_women_legislature,state_econ_liberalism_policy,mass_social_liberalism_policy,mass_econ_liberalism_policy
Alabama,849624,1441170,7312,729547,31103,0,0,6129,125166,372033,800287,1918336,3355858,4227298,5332670,6584507,9513716,12918813,13436108,15701638,15647349,16644019,16436393,17409442,19824481,22697489,18616463,9513716,0,0,42,4044,14438,23697,38436,58883,71419,85064,98538,131827,186775,254883,320023,322507,342116,338204,354441,367172,392954,343269,26711,353974,1728736,2591163,3021902,3350607,3587175,4136247,4532608,4874827,48.32981011322232,2020-04-04,2020-04-30,26,26,4779736,4903185,1000,-1.2,-33.3,41.1,5.2,46908,0.057,1331,NA,15.7,-1.3702120741951205,0.07021931196982595,-0.5247536310222688
Alaska,153778,189951,6904,116454,20042,0,0,851,8231,12256,23003,67633,154871,220233,367261,721036,1278752,1582034,1572767,1868257,1955478,2134770,2105472,2236438,2503376,2969885,2841590,1278752,0,0,8,173,243,291,496,843,1265,1890,2802,5136,7066,7644,9123,9337,10601,10651,11289,12228,13957,13796,14550,119590,407233,552792,612275,658672,697440,730407,792368,871621,3.9778824269183715,2020-03-28,2020-04-24,27,27,710231,731545,2000,-12.3,-46.7,44.7,12.2,64780,0.059,334,NA,30,-0.18115938066850365,0.4535849719891978,-0.4611111362913889
Arizona,1672143,1661686,2032,1161167,53270,6,29,6830,128668,417110,1297231,4105142,5951480,6320568,7142027,8449500,13328487,20456595,22273592,25799613,25567954,27055010,26637712,28139084,30036830,31702901,25813307,13328487,0,0,118,4870,19864,37510,79906,138063,161423,179976,189527,237564,342668,415598,513727,514125,541764,533742,560683,573548,581550,469864,43667,594104,3451567,5070403,5967929,6496635,7099611,7573202,8214287,8814272,51.53380740039763,2020-03-31,2020-05-15,45,45,6392017,7278717,4000,9.9,-31.7,38.7,5.7,48950,0.079,3302,NA,44.4,-1.2213922349838322,1.4510752138216116,-0.4511597020461477
Arkansas,423932,760647,21357,380494,35440,0,0,3965,53571,150100,402154,972426,1633930,2173272,3025302,4031431,5960217,8247175,8718837,10140927,9990989,10502727,10342559,11285956,13065966,14359207,11585340,5960217,0,0,36,1007,3137,5895,10829,19077,32549,51328,66765,95245,132941,146201,169225,170568,179528,176056,185923,202246,220382,184673,33802,303793,1183295,1787295,2079708,2229874,2442426,2795401,3018302,3256987,19.534071795252444,1970-01-01,1970-01-01,0,0,2915918,3017804,5000,4.5,-34,43.5,7,47109,0.062,746,NA,23,-1.139212707371191,-0.018473530684866526,-0.37512056765371626
California,11110250,6006429,196307,8753788,465497,14,285,55406,865585,2476264,4905111,11404982,19168704,23157862,27164081,31809852,53961030,90326882,97356780,112432256,111307756,116820721,114150754,122052664,131516991,138463711,110595916,53961030,0,0,1113,30176,99379,155690,232621,349458,438311,522654,551791,683920,1029821,1317354,1747316,1821547,1941202,1899128,1984742,2013834,2029550,1619333,333373,3285351,18223412,30223491,38398021,42644084,45139705,48012379,50639664,54303185,39.402996890354665,2020-03-19,2020-08-28,162,162,37253956,39512223,6000,0.1,-32.2,37.6,3.3,71480,0.09,12013,NA,31.7,1.5588319737115408,2.292084655568142,0.018905302137060532
Colorado,1804352,1364607,58561,1338870,94745,0,0,18603,264026,660633,886415,1215655,1642292,1909117,2651624,5058076,9135593,11537516,11643413,13881333,14666476,16519472,16636325,17630255,18506769,19428791,16101466,9135593,0,0,344,11715,35594,48035,54290,58799,60271,67610,79208,127004,166939,165468,189756,188851,203909,205244,217790,223234,225690,183472,82694,569234,2691248,4442828,5613301,6188964,6473244,6823463,7177109,7748753,83.41240161035337,2020-03-26,2020-04-26,31,31,5029196,5758736,8000,-3,-33.3,35.1,7.9,63522,0.064,2316,NA,45,-0.503795900537149,2.1165921200144617,-0.48346863304969223
Connecticut,1080831,714717,8079,897572,25457,0,0,14606,467204,1124193,1348657,1483675,1585462,1651324,1961272,2784189,4793649,6900960,7518722,9132906,9809247,10682683,10455337,10883232,11268515,11466034,9096454,4793649,0,0,283,29752,101014,125398,135762,138000,134566,141104,143360,170624,204066,207285,241425,239697,253536,247889,256766,257881,253865,199860,68040,436842,1954259,3220725,4038384,4405405,4592286,4822787,5039727,5401889,351.7192304574639,2020-03-23,2020-05-20,58,58,3574097,3565287,9000,-10,-32.2,36.6,7.8,79771,0.061,1672,NA,34.2,1.7413763759618524,2.677202264627957,-0.12368619555855268
Delaware,296268,200603,2475,235603,6103,0,0,1887,67480,229386,312601,410198,503506,572135,706558,883967,1466659,2135494,2317309,2815506,3000969,3319071,3281533,3421377,3567960,3797367,3175862,1466659,0,0,31,1840,8381,13062,16554,18439,18572,20617,22110,26058,31172,35950,46638,47762,51052,50453,52856,57300,57443,46151,9584,99954,463476,759503,941707,1039175,1090237,1152144,1202549,1290723,134.13927810023785,2020-03-24,2020-05-31,68,68,897934,973764,10000,-8.8,-25.4,29.3,9.1,56768,0.056,548,NA,30.6,1.0987614130598233,1.5032402860178709,-0.2046995659325521
District Of Columbia,317323,18586,6411,282830,12116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13167,80526,374297,601789,789663,863593,901013,947110,999174,1072463,NA,NA,NA,NA,NA,NA,NA,11000,-2.5,-19.5,21.2,7.9,87064,0.083,389,NA,53.8,NA,NA,NA
Florida,5297045,5668731,31356,4504975,90135,0,0,35597,671158,1396018,2637626,9746638,17469880,20108236,23278677,26828632,35950671,47886474,51110061,61554055,64514171,70924515,69315186,74968948,90612849,103449036,83022975,35950671,0,0,489,19495,59664,89605,149112,287667,385716,486884,528358,625248,743799,808567,1002705,1029228,1118745,1121639,1189731,1283178,1502849,1312372,213031,1959626,9563326,15159919,18821195,21063050,22548575,24897414,26780337,28594539,41.71994470367152,2020-04-02,2020-05-04,32,32,18801310,21477737,12000,0.6,-30.6,36.8,5,55337,0.064,8260,NA,34.4,-1.1200087300801898,1.6867482817771338,-0.3877863842790137
